branch_name,lineage_class,mergeability_class,root_commit_family,shares_ancestor_with_main_flag,merge_base_with_main,unrelated_history_flag,ahead_of_main,behind_main
copilot/r1-d2-evidence-redaction,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1715,194
copilot/r1-d2-merge-checks,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1715,194
copilot/r1-demo-proof,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1701,194
copilot/r1-payload-shaping,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1687,194
copilot/r1-smoke-resilience,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1695,194
copilot/r1-week1-contracts-handlers,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1511,194
copilot/r1-week3-core,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1598,194
copilot/r1-week3-frontend,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1607,194
copilot/r1-week3-frontend-wire,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1600,194
copilot/r1-week3-remaining-handlers,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1597,194
copilot/r1-week5-cp12-governance-midpoint,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1638,194
copilot/r1-week5-cx17-enobufs-regression,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1630,194
copilot/r1-week5-cx18-permission-policy,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1630,194
copilot/r1-week5-cx18d-permissions-enabled,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1635,194
copilot/r1-week5-cx19-cross-county-nonleak,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1640,194
copilot/r1-week5-cx19d1-properties-county-isolation,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1642,194
copilot/r1-week5-cx19d2-costforge-get-county-isolation,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1644,194
copilot/r1-week5-scope-lock,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1628,194
copilot/research-onboarding-architecture,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,0,122
copilot/workspace-hardening,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1648,194
data/comparable-sales-year-date-index,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2540,194
design/sync-doctrine-4-improvement-universe,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2588,194
docs/ci-workflow-lifecycle-policy,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1075,194
docs/external-ops-blocked-truth,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1857,194
docs/final-accounting-r3,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1848,194
docs/github-refresh,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1878,194
docs/phase4c-results,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,772,194
docs/production-proof-evidence,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1881,194
docs/r1-post-merge-ledger,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1808,194
docs/seal-allowlist-guard,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1055,194
docs/sop-v1.3-ci-noise,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1074,194
docs/staging-proof-evidence,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1873,194
docs/terracanon-wiki,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1879,194
docs/tier1-evidence-companion,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1080,194
docs/tier1-gold-exemplar,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1081,194
docs/tier1-ui-dod-checklist,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1079,194
docs/ui-smoke-evidence-template,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1902,194
docs/vendor-call-script,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,153
docs/wo-ai-discovery-001c,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,3,187
